datum,weekdag,omzet,aantal_orders,ingeroosterde_uren,benodigde_uren_norm,loonkosten,omzet_per_uur,temp_c,neerslag_mm,zon_index,event
2023-09-01,Friday,6583.7,232,51.9,61.2,871.92,126.85,16.4,0.7,1.0,Kaasmarkt
2023-09-02,Saturday,6182.0,210,53.8,57.4,903.84,114.91,17.3,0.0,1.0,
2023-09-03,Sunday,4099.4,138,36.9,38.1,619.92,111.09,15.3,0.0,0.74,
2023-09-04,Monday,2959.2,102,25.8,27.5,433.44,114.7,13.2,0.0,0.48,
2023-09-05,Tuesday,3068.9,97,26.8,28.5,450.24,114.51,14.5,0.0,0.73,
2023-09-06,Wednesday,2451.9,93,34.7,22.8,582.96,70.66,12.7,0.7,0.23,
2023-09-07,Thursday,4325.4,150,39.3,40.2,660.24,110.06,16.0,0.0,1.0,
2023-09-08,Friday,8249.5,265,49.7,76.7,834.96,165.99,19.9,0.0,1.0,Kaasmarkt
2023-09-09,Saturday,6436.7,213,48.3,59.8,811.44,133.27,14.0,0.0,0.37,
2023-09-10,Sunday,5013.5,163,42.9,46.6,720.72,116.86,13.4,0.0,0.44,
2023-09-11,Monday,2597.3,80,27.7,24.1,465.36,93.77,16.9,0.0,1.0,
2023-09-12,Tuesday,3142.8,102,25.8,29.2,433.44,121.81,16.3,4.0,0.25,
2023-09-13,Wednesday,3992.7,132,31.9,37.1,535.92,125.16,15.4,0.0,0.85,
2023-09-14,Thursday,3327.8,108,34.3,30.9,576.24,97.02,11.9,1.9,0.1,
2023-09-15,Friday,6512.6,214,48.2,60.5,809.76,135.12,14.7,1.7,0.84,Kaasmarkt
2023-09-16,Saturday,4417.0,141,46.0,41.0,772.8,96.02,16.9,0.0,0.67,
2023-09-17,Sunday,3041.1,115,36.1,28.3,606.48,84.24,10.2,0.0,0.51,
2023-09-18,Monday,2471.7,93,25.8,23.0,433.44,95.8,12.9,0.0,0.41,
2023-09-19,Tuesday,1703.5,63,32.0,15.8,537.6,53.23,8.2,0.0,0.24,
2023-09-20,Wednesday,2179.4,82,34.3,20.3,576.24,63.54,10.0,4.7,0.11,
2023-09-21,Thursday,3053.9,98,36.9,28.4,619.92,82.76,8.1,2.9,0.05,
2023-09-22,Friday,5823.3,205,48.6,54.1,816.48,119.82,13.1,0.0,0.35,Kaasmarkt
2023-09-23,Saturday,5166.2,197,50.4,48.0,846.72,102.5,9.7,0.0,0.41,
2023-09-24,Sunday,2741.4,113,38.7,25.5,650.16,70.84,14.5,0.0,0.97,
2023-09-25,Monday,2251.1,74,24.8,20.9,416.64,90.77,14.0,0.0,0.11,
2023-09-26,Tuesday,2535.9,94,33.0,23.6,554.4,76.85,12.7,0.0,0.3,
2023-09-27,Wednesday,2035.5,73,29.7,18.9,498.96,68.54,5.1,0.0,0.41,
2023-09-28,Thursday,2308.9,88,33.1,21.5,556.08,69.76,11.3,11.3,0.0,
2023-09-29,Friday,6369.1,201,49.5,59.2,831.6,128.67,12.8,8.2,0.08,Kaasmarkt
2023-09-30,Saturday,6173.1,196,53.1,57.4,892.08,116.25,13.1,0.0,0.19,
2023-10-01,Sunday,3530.2,133,41.5,32.8,697.2,85.07,7.7,0.0,0.41,
2023-10-02,Monday,1641.2,55,27.1,15.3,455.28,60.56,11.0,0.0,0.26,
2023-10-03,Tuesday,1684.0,80,28.4,15.6,477.12,59.3,9.2,8.1,0.0,
2023-10-04,Wednesday,3477.2,106,31.6,32.3,530.88,110.04,9.6,0.0,0.39,
2023-10-05,Thursday,3017.9,116,37.9,28.0,636.72,79.63,15.5,0.0,1.0,
2023-10-06,Friday,4083.5,152,47.0,37.9,789.6,86.88,9.3,0.0,0.27,
2023-10-07,Saturday,7020.7,248,54.6,65.2,917.28,128.58,11.7,0.0,0.37,
2023-10-08,Sunday,3505.7,125,43.5,32.6,730.8,80.59,14.5,0.0,0.51,
2023-10-09,Monday,2039.0,61,26.8,18.9,450.24,76.08,9.6,9.5,0.0,
2023-10-10,Tuesday,2957.7,88,27.9,27.5,468.72,106.01,11.0,0.0,0.41,
2023-10-11,Wednesday,2572.1,97,34.1,23.9,572.88,75.43,11.5,0.0,0.34,
2023-10-12,Thursday,3112.6,107,36.2,28.9,608.16,85.98,11.3,0.0,0.14,
2023-10-13,Friday,4223.9,146,46.7,39.3,784.56,90.45,7.0,0.0,0.24,
2023-10-14,Saturday,5232.9,185,61.6,48.6,1034.88,84.95,11.0,0.0,0.35,
2023-10-15,Sunday,3592.8,132,42.4,33.4,712.32,84.74,15.0,0.0,1.0,
2023-10-16,Monday,1617.2,60,26.0,15.0,436.8,62.2,5.5,0.0,0.47,
2023-10-17,Tuesday,2105.8,83,27.1,19.6,455.28,77.7,13.1,0.0,0.44,
2023-10-18,Wednesday,2780.6,100,33.6,25.8,564.48,82.76,10.6,3.1,0.0,
2023-10-19,Thursday,3039.2,101,36.1,28.2,606.48,84.19,8.0,0.6,0.3,
2023-10-20,Friday,5234.0,180,49.5,48.6,831.6,105.74,16.3,0.0,1.0,
2023-10-21,Saturday,5101.6,175,50.5,47.4,848.4,101.02,12.2,6.4,0.07,
2023-10-22,Sunday,2890.2,102,43.9,26.9,737.52,65.84,5.7,0.0,0.39,
2023-10-23,Monday,2181.7,72,25.2,20.3,423.36,86.58,9.7,0.0,0.31,
2023-10-24,Tuesday,3230.0,103,25.9,30.0,435.12,124.71,11.1,0.0,0.56,
2023-10-25,Wednesday,3323.0,111,29.5,30.9,495.6,112.64,8.5,2.8,0.38,
2023-10-26,Thursday,3557.9,106,34.3,33.1,576.24,103.73,11.2,0.0,0.33,
2023-10-27,Friday,4074.0,150,45.5,37.9,764.4,89.54,8.7,8.4,0.0,
2023-10-28,Saturday,4775.5,151,54.8,44.4,920.64,87.14,10.9,0.0,0.59,
2023-10-29,Sunday,3208.1,100,39.8,29.8,668.64,80.61,13.2,0.0,0.28,
2023-10-30,Monday,1861.8,82,26.1,17.3,438.48,71.33,6.3,2.6,0.36,Halloween
2023-10-31,Tuesday,2670.5,92,25.8,24.8,433.44,103.51,8.9,6.4,0.26,Halloween
2023-11-01,Wednesday,2889.3,95,31.4,26.9,527.52,92.02,6.7,0.0,0.23,
