datum,productcode,aantal_bedorven,basiseenheid,kostprijs
2025-01-01,ZUI01,0.9,L,1.03
2025-01-08,ZUI01,1.5,L,1.72
2025-01-15,ZUI01,2.25,L,2.59
2023-09-06,BROOD01,17.0,snee,2.34
2023-09-20,BROOD01,74.0,snee,10.18
2023-10-04,BROOD01,29.0,snee,3.99
2023-10-18,BROOD01,16.0,snee,2.2
2023-12-20,BROOD01,52.0,snee,7.15
2023-12-27,BROOD01,45.0,snee,6.19
2024-01-03,BROOD01,79.0,snee,10.86
2024-01-10,BROOD01,179.0,snee,24.61
2024-01-17,BROOD01,48.0,snee,6.6
2024-01-24,BROOD01,26.0,snee,3.58
2024-02-28,BROOD01,37.0,snee,5.09
2024-08-14,BROOD01,3.0,snee,0.41
2024-08-21,BROOD01,47.0,snee,6.46
2024-09-18,BROOD01,212.0,snee,29.15
2024-11-06,BROOD01,22.0,snee,3.03
2024-11-13,BROOD01,4.0,snee,0.55
2024-11-20,BROOD01,46.0,snee,6.33
2024-11-27,BROOD01,108.0,snee,14.85
2024-12-04,BROOD01,7.0,snee,0.96
2024-12-25,BROOD01,29.0,snee,3.99
2025-01-01,BROOD01,176.0,snee,24.2
2025-01-08,BROOD01,88.0,snee,12.1
2025-01-15,BROOD01,12.0,snee,1.65
2025-01-29,BROOD01,15.0,snee,2.06
2025-03-12,BROOD01,28.0,snee,3.85
2025-04-09,BROOD01,27.0,snee,3.71
2025-05-21,BROOD01,60.0,snee,8.25
2025-06-04,BROOD01,31.0,snee,4.26
2025-07-02,BROOD01,25.0,snee,3.44
2025-08-27,BROOD01,74.0,snee,10.18
2025-09-03,BROOD01,96.0,snee,13.2
2025-09-24,BROOD01,42.0,snee,5.78
2025-11-05,BROOD01,77.0,snee,10.59
2025-12-03,BROOD01,97.0,snee,13.34
2025-12-17,BROOD01,96.0,snee,13.2
2025-12-31,BROOD01,61.0,snee,8.39
2026-01-07,BROOD01,108.0,snee,14.85
2026-01-14,BROOD01,14.0,snee,1.93
2026-01-21,BROOD01,28.0,snee,3.85
2026-01-28,BROOD01,8.0,snee,1.1
2026-03-18,BROOD01,54.0,snee,7.43
2026-04-08,BROOD01,9.0,snee,1.24
2026-07-15,BROOD01,24.0,snee,3.3
2026-08-26,BROOD01,103.0,snee,14.16
2023-09-06,BROOD02,59.0,stuk,15.73
2023-09-18,BROOD02,5.0,stuk,1.33
2023-09-20,BROOD02,31.0,stuk,8.27
2023-09-25,BROOD02,9.0,stuk,2.4
2023-09-27,BROOD02,26.0,stuk,6.93
2023-10-04,BROOD02,17.0,stuk,4.53
2023-10-11,BROOD02,12.0,stuk,3.2
2023-10-18,BROOD02,50.0,stuk,13.33
2023-10-25,BROOD02,11.0,stuk,2.93
2023-11-01,BROOD02,32.0,stuk,8.53
2023-11-08,BROOD02,29.0,stuk,7.73
2023-11-15,BROOD02,40.0,stuk,10.67
2023-11-20,BROOD02,20.0,stuk,5.33
2023-11-22,BROOD02,19.0,stuk,5.07
2023-12-06,BROOD02,28.0,stuk,7.47
2023-12-13,BROOD02,44.0,stuk,11.73
2023-12-20,BROOD02,53.0,stuk,14.13
2023-12-27,BROOD02,36.0,stuk,9.6
2024-01-03,BROOD02,31.0,stuk,8.27
2024-01-10,BROOD02,17.0,stuk,4.53
2024-01-17,BROOD02,17.0,stuk,4.53
2024-01-22,BROOD02,3.0,stuk,0.8
2024-01-24,BROOD02,34.0,stuk,9.07
2024-01-31,BROOD02,17.0,stuk,4.53
2024-02-12,BROOD02,26.0,stuk,6.93
2024-02-21,BROOD02,22.0,stuk,5.87
2024-03-13,BROOD02,5.0,stuk,1.33
2024-03-25,BROOD02,13.0,stuk,3.47
2024-03-27,BROOD02,22.0,stuk,5.87
2024-04-03,BROOD02,6.0,stuk,1.6
2024-04-06,BROOD02,14.0,stuk,3.73
2024-04-13,BROOD02,1.0,stuk,0.27
2024-04-24,BROOD02,24.0,stuk,6.4
2024-05-08,BROOD02,40.0,stuk,10.67
2024-05-27,BROOD02,3.0,stuk,0.8
2024-05-29,BROOD02,9.0,stuk,2.4
2024-06-12,BROOD02,9.0,stuk,2.4
2024-06-19,BROOD02,30.0,stuk,8.0
2024-06-26,BROOD02,4.0,stuk,1.07
2024-07-03,BROOD02,19.0,stuk,5.07
2024-07-17,BROOD02,19.0,stuk,5.07
2024-07-31,BROOD02,24.0,stuk,6.4
2024-08-07,BROOD02,39.0,stuk,10.4
2024-08-14,BROOD02,23.0,stuk,6.13
2024-08-21,BROOD02,43.0,stuk,11.47
2024-08-28,BROOD02,10.0,stuk,2.67
2024-09-04,BROOD02,31.0,stuk,8.27
2024-09-11,BROOD02,39.0,stuk,10.4
2024-09-18,BROOD02,13.0,stuk,3.47
2024-09-25,BROOD02,10.0,stuk,2.67
2024-09-30,BROOD02,9.0,stuk,2.4
2024-10-02,BROOD02,11.0,stuk,2.93
2024-10-16,BROOD02,46.0,stuk,12.27
2024-10-21,BROOD02,20.0,stuk,5.33
2024-10-23,BROOD02,16.0,stuk,4.27
2024-10-28,BROOD02,16.0,stuk,4.27
2024-10-30,BROOD02,11.0,stuk,2.93
2024-11-06,BROOD02,29.0,stuk,7.73
2024-11-13,BROOD02,19.0,stuk,5.07
2024-11-16,BROOD02,10.0,stuk,2.67
2024-11-27,BROOD02,20.0,stuk,5.33
2024-12-04,BROOD02,3.0,stuk,0.8
2024-12-23,BROOD02,5.0,stuk,1.33
2024-12-25,BROOD02,29.0,stuk,7.73
2025-01-01,BROOD02,58.0,stuk,15.47
2025-01-06,BROOD02,8.0,stuk,2.13
2025-01-08,BROOD02,30.0,stuk,8.0
2025-01-18,BROOD02,15.0,stuk,4.0
2025-01-22,BROOD02,13.0,stuk,3.47
2025-01-25,BROOD02,15.0,stuk,4.0
2025-01-29,BROOD02,14.0,stuk,3.73
2025-02-12,BROOD02,27.0,stuk,7.2
2025-02-24,BROOD02,5.0,stuk,1.33
2025-02-26,BROOD02,25.0,stuk,6.67
2025-03-05,BROOD02,40.0,stuk,10.67
2025-03-12,BROOD02,39.0,stuk,10.4
2025-03-26,BROOD02,7.0,stuk,1.87
2025-04-02,BROOD02,40.0,stuk,10.67
