leverdatum,productcode,product,leverancier,aantal,besteleenheid,bedrag
2023-09-04,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2023-09-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-09-11,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2023-09-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-09-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-09-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-09-28,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-02,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2023-10-05,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-10-26,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2023-11-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-20,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-11-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-14,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2023-12-28,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-01-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-01-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-01-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-01-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-01-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-05,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-08,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-02-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-03-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-03-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-03-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-03-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-03-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-03-28,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-08,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-04-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-06,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-05-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-20,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-05-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-05-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-06-03,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-06-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-06-10,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-06-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-06-17,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-06-20,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-06-24,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-06-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-07-01,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-07-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-07-08,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-07-11,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-07-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-07-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-07-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-07-25,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-07-29,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-08-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-08-05,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-08-08,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-08-12,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-08-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-08-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-08-22,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-08-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-08-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-02,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-09-05,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-23,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2024-09-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-09-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-14,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-17,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-24,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-28,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-10-31,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-14,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-11-28,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-23,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2024-12-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-01-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-01-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-01-20,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-01-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-17,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-24,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-02-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-17,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-20,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-24,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-03-31,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-14,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-24,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-04-28,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-05-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-05,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-08,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-12,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-19,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-05-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-05-29,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-06-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-06-05,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-06-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-06-12,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-06-16,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-06-19,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-06-23,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-06-26,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-06-30,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-07-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-07-07,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-07-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-07-14,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-07-17,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-07-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-07-24,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-07-28,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-07-31,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-08-04,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-08-07,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-08-11,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-08-14,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-08-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-08-21,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-08-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-08-28,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-09-01,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-04,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-08,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-09-11,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-15,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-18,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-22,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-25,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-09-29,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-10-02,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-10-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-10-09,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-10-13,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-10-16,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-10-20,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-10-27,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-10-30,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-11-03,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-11-06,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-11-10,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-11-17,BIER01,Pils fust 50L,Brouwerij Noord,2,fust,236.0
2025-11-24,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
2025-11-27,BIER01,Pils fust 50L,Brouwerij Noord,1,fust,118.0
