datum,productcode,theoretisch_verbruik
2023-09-01,AARD01,11.76
2023-09-01,BIER01,30.75
2023-09-01,BIER02,37.0
2023-09-01,BROOD01,161.0
2023-09-01,BROOD02,30.0
2023-09-01,FRIS01,28.0
2023-09-01,FRIS02,36.0
2023-09-01,FRIS03,6.25
2023-09-01,KOF01,0.428
2023-09-01,VLEES01,30.0
2023-09-01,WIJN01,4.5
2023-09-01,WIJN02,4.35
2023-09-01,WIJN03,2.7
2023-09-01,ZUI01,5.25
2023-09-02,AARD01,13.16
2023-09-02,BIER01,27.5
2023-09-02,BIER02,25.0
2023-09-02,BROOD01,183.0
2023-09-02,BROOD02,22.0
2023-09-02,FRIS01,25.0
2023-09-02,FRIS02,27.0
2023-09-02,FRIS03,5.0
2023-09-02,KOF01,0.495
2023-09-02,VLEES01,22.0
2023-09-02,WIJN01,5.55
2023-09-02,WIJN02,5.4
2023-09-02,WIJN03,2.85
2023-09-02,ZUI01,5.7
2023-09-03,AARD01,7.42
2023-09-03,BIER01,14.0
2023-09-03,BIER02,17.0
2023-09-03,BROOD01,215.0
2023-09-03,BROOD02,18.0
2023-09-03,FRIS01,30.0
2023-09-03,FRIS02,19.0
2023-09-03,FRIS03,4.75
2023-09-03,KOF01,0.3
2023-09-03,VLEES01,18.0
2023-09-03,WIJN01,2.25
2023-09-03,WIJN02,1.8
2023-09-03,WIJN03,1.5
2023-09-03,ZUI01,2.7
2023-09-04,AARD01,7.28
2023-09-04,BIER01,11.5
2023-09-04,BIER02,5.0
2023-09-04,BROOD01,124.0
2023-09-04,BROOD02,18.0
2023-09-04,FRIS01,22.0
2023-09-04,FRIS02,15.0
2023-09-04,FRIS03,3.25
2023-09-04,KOF01,0.21
2023-09-04,VLEES01,18.0
2023-09-04,WIJN01,1.95
2023-09-04,WIJN02,1.8
2023-09-04,WIJN03,1.2
2023-09-04,ZUI01,1.65
2023-09-05,AARD01,6.44
2023-09-05,BIER01,8.25
2023-09-05,BIER02,14.0
2023-09-05,BROOD01,127.0
2023-09-05,BROOD02,21.0
2023-09-05,FRIS01,16.0
2023-09-05,FRIS02,9.0
2023-09-05,FRIS03,3.25
2023-09-05,KOF01,0.292
2023-09-05,VLEES01,21.0
2023-09-05,WIJN01,1.35
2023-09-05,WIJN02,0.75
2023-09-05,WIJN03,1.35
2023-09-05,ZUI01,2.4
2023-09-06,AARD01,4.76
2023-09-06,BIER01,9.5
2023-09-06,BIER02,6.0
2023-09-06,BROOD01,102.0
2023-09-06,BROOD02,6.0
2023-09-06,FRIS01,12.0
2023-09-06,FRIS02,13.0
2023-09-06,FRIS03,2.5
2023-09-06,KOF01,0.315
2023-09-06,VLEES01,6.0
2023-09-06,WIJN01,1.5
2023-09-06,WIJN02,1.2
2023-09-06,WIJN03,0.75
2023-09-06,ZUI01,3.3
2023-09-07,AARD01,9.52
2023-09-07,BIER01,17.25
2023-09-07,BIER02,10.0
2023-09-07,BROOD01,202.0
2023-09-07,BROOD02,28.0
2023-09-07,FRIS01,20.0
2023-09-07,FRIS02,22.0
2023-09-07,FRIS03,7.5
2023-09-07,KOF01,0.472
2023-09-07,VLEES01,28.0
2023-09-07,WIJN01,2.4
2023-09-07,WIJN02,2.85
2023-09-07,WIJN03,1.2
2023-09-07,ZUI01,5.1
2023-09-08,AARD01,19.46
2023-09-08,BIER01,43.0
2023-09-08,BIER02,45.0
2023-09-08,BROOD01,245.0
2023-09-08,BROOD02,54.0
2023-09-08,FRIS01,43.0
2023-09-08,FRIS02,42.0
2023-09-08,FRIS03,7.25
2023-09-08,KOF01,0.442
2023-09-08,VLEES01,54.0
2023-09-08,WIJN01,7.65
2023-09-08,WIJN02,6.6
2023-09-08,WIJN03,2.1
2023-09-08,ZUI01,5.25
2023-09-09,AARD01,14.56
2023-09-09,BIER01,29.5
2023-09-09,BIER02,26.0
2023-09-09,BROOD01,239.0
2023-09-09,BROOD02,27.0
2023-09-09,FRIS01,31.0
2023-09-09,FRIS02,29.0
2023-09-09,FRIS03,4.25
2023-09-09,KOF01,0.39
2023-09-09,VLEES01,27.0
2023-09-09,WIJN01,6.45
2023-09-09,WIJN02,3.0
2023-09-09,WIJN03,1.2
2023-09-09,ZUI01,4.35
2023-09-10,AARD01,13.44
